number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
0.7142857142857142,0.2857142857142857,0.0031055900621118036,0.0,70
0.14285714285714285,0.0,0.04037267080745341,0.0,165
0.0,0.2857142857142857,0.006211180124223604,0.0,64
0.5714285714285714,0.14285714285714285,0.06521739130434782,0.0,35
1.0,0.14285714285714285,1.0,0.5,194
0.14285714285714285,0.0,0.04037267080745341,0.0,93
0.14285714285714285,0.14285714285714285,1.0,0.5,244
0.0,0.0,0.015527950310559004,0.0,68
0.2857142857142857,0.0,0.006211180124223604,1.0,77
1.0,0.2857142857142857,0.012422360248447204,0.0,80
0.7142857142857142,0.14285714285714285,0.0031055900621118036,0.0,45
0.5714285714285714,0.2857142857142857,0.012422360248447204,0.5,199
0.0,0.5714285714285714,0.0031055900621118036,0.0,140
0.7142857142857142,0.14285714285714285,1.0,0.5,196
0.8571428571428572,0.5714285714285714,0.0031055900621118036,0.0,42
0.0,0.14285714285714285,0.0,0.0,100
0.42857142857142855,0.14285714285714285,0.0,0.0,79
0.0,0.0,0.0031055900621118036,0.0,75
0.2857142857142857,0.0,0.0,0.0,120
0.5714285714285714,0.0,0.0,0.0,99
1.0,0.14285714285714285,1.0,0.5,240
0.7142857142857142,0.0,0.006211180124223604,0.0,50
1.0,0.0,0.012422360248447204,1.0,69
0.7142857142857142,0.5714285714285714,0.0,0.0,70
0.2857142857142857,0.8571428571428572,0.13043478260869565,0.0,62
0.0,0.2857142857142857,0.0031055900621118036,0.0,145
0.2857142857142857,0.14285714285714285,0.009316770186335404,1.0,40
0.5714285714285714,0.8571428571428572,0.13043478260869565,0.0,75
0.14285714285714285,0.14285714285714285,1.0,0.5,229
0.14285714285714285,0.0,0.0,0.0,82
0.8571428571428572,0.14285714285714285,1.0,0.5,248
0.5714285714285714,0.7142857142857142,0.11801242236024845,0.0,38
0.7142857142857142,0.2857142857142857,0.07142857142857142,0.0,299
0.14285714285714285,0.14285714285714285,0.0,0.5,125
0.2857142857142857,0.0,0.0031055900621118036,0.0,89
0.2857142857142857,0.0,0.0031055900621118036,1.0,75
0.0,0.0,0.0,0.0,159
0.2857142857142857,0.0,0.0,0.0,125
0.7142857142857142,0.0,0.012422360248447204,0.0,100
0.0,0.8571428571428572,0.0031055900621118036,0.0,90
0.0,0.0,0.0031055900621118036,0.5,282
1.0,0.0,0.0031055900621118036,0.0,55
0.0,0.0,0.08695652173913043,0.0,119
0.14285714285714285,0.0,0.037267080745341616,1.0,35
1.0,0.0,0.018633540372670804,0.0,179
0.14285714285714285,0.5714285714285714,0.006211180124223604,1.0,34
1.0,0.2857142857142857,0.0,0.0,80
0.0,0.2857142857142857,0.02484472049689441,0.0,57
0.0,0.0,0.027950310559006212,0.5,300
0.14285714285714285,0.0,0.0,1.0,95
0.0,0.0,0.006211180124223604,0.0,100
0.2857142857142857,0.14285714285714285,0.0031055900621118036,0.0,65
1.0,0.14285714285714285,1.0,0.5,257
0.7142857142857142,0.14285714285714285,0.015527950310559004,0.0,40
0.14285714285714285,0.0,0.006211180124223604,0.0,100
0.5714285714285714,0.14285714285714285,0.006211180124223604,0.5,100
1.0,0.42857142857142855,0.009316770186335404,0.0,34
0.7142857142857142,0.2857142857142857,0.0,0.0,60
0.0,0.0,0.012422360248447204,0.0,69
0.5714285714285714,0.0,0.006211180124223604,0.0,91
0.8571428571428572,0.0,0.015527950310559004,0.0,86
0.14285714285714285,0.14285714285714285,0.0031055900621118036,0.0,40
0.7142857142857142,0.8571428571428572,0.13043478260869565,0.0,54
0.42857142857142855,0.2857142857142857,0.0031055900621118036,0.0,85
0.2857142857142857,0.0,0.0,0.0,105
0.8571428571428572,0.0,0.037267080745341616,0.5,120
0.42857142857142855,0.0,0.0,0.0,45
0.5714285714285714,0.0,0.0031055900621118036,0.0,70
0.2857142857142857,0.14285714285714285,0.0,1.0,38
0.14285714285714285,0.14285714285714285,0.006211180124223604,1.0,150
0.0,0.0,0.0,0.0,90
0.42857142857142855,0.0,0.012422360248447204,0.0,100
0.14285714285714285,0.8571428571428572,0.13043478260869565,0.0,100
0.42857142857142855,0.0,0.018633540372670804,0.0,330
0.8571428571428572,0.0,0.0,0.0,150
0.7142857142857142,0.2857142857142857,0.0031055900621118036,0.5,250
0.8571428571428572,0.14285714285714285,0.06521739130434782,0.0,36
0.42857142857142855,0.0,0.012422360248447204,0.0,100
0.0,0.5714285714285714,0.006211180124223604,0.0,50
0.42857142857142855,0.14285714285714285,0.0,0.0,27
0.14285714285714285,0.0,0.0031055900621118036,0.0,60
0.7142857142857142,0.8571428571428572,0.015527950310559004,1.0,50
0.8571428571428572,0.0,0.0,0.0,64
0.7142857142857142,0.8571428571428572,0.0,0.0,140
0.42857142857142855,0.0,0.009316770186335404,0.0,50
0.5714285714285714,0.0,0.07763975155279502,0.0,199
0.0,0.42857142857142855,0.009316770186335404,0.0,75
0.7142857142857142,0.0,0.009316770186335404,0.0,249
0.42857142857142855,0.8571428571428572,0.02484472049689441,0.0,35
0.42857142857142855,0.14285714285714285,0.0,1.0,41
0.0,0.0,0.015527950310559004,0.0,57
0.5714285714285714,0.0,0.009316770186335404,0.0,54
0.7142857142857142,0.0,0.0031055900621118036,1.0,37
1.0,0.0,0.009316770186335404,0.0,45
0.2857142857142857,0.0,0.015527950310559004,0.5,289
1.0,0.14285714285714285,1.0,0.5,194
0.2857142857142857,0.14285714285714285,1.0,0.5,210
0.8571428571428572,0.0,0.006211180124223604,0.0,60
0.5714285714285714,0.14285714285714285,0.018633540372670804,0.0,191
0.14285714285714285,0.14285714285714285,1.0,0.5,230
1.0,0.0,0.037267080745341616,0.5,120
0.5714285714285714,0.14285714285714285,1.0,0.5,235
0.5714285714285714,0.0,0.0,1.0,75
0.42857142857142855,0.0,0.0031055900621118036,1.0,75
0.42857142857142855,0.0,0.04658385093167701,0.0,99
0.42857142857142855,0.14285714285714285,1.0,0.5,245
0.14285714285714285,0.0,0.0,0.0,65
0.7142857142857142,0.0,0.012422360248447204,0.0,40
1.0,0.0,0.018633540372670804,0.0,299
0.14285714285714285,0.2857142857142857,0.0,0.0,70
0.14285714285714285,0.14285714285714285,1.0,0.0,264
0.0,0.0,0.009316770186335404,0.0,84
0.0,0.0,0.0,0.0,50
0.5714285714285714,0.14285714285714285,1.0,0.5,228
0.7142857142857142,0.0,0.0,0.0,196
1.0,0.14285714285714285,0.0,0.5,134
0.7142857142857142,0.8571428571428572,0.13043478260869565,0.0,120
0.0,0.0,0.0031055900621118036,0.0,45
0.5714285714285714,0.0,0.0,0.5,140
0.14285714285714285,0.14285714285714285,0.012422360248447204,0.0,69
